PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
LTU,01,f,100,+,O,01,01,1994,14,O,405,6,8,.,1
LTU,01,f,UNK,.,O,01,01,1994,14,O,0,6,8,.,1
LTU,01,f,TOT,.,O,01,01,1994,14,O,1937924,6,8,.,1
LTU,01,m,0,1,O,01,01,1995,14,O,21327,6,8,.,1
LTU,01,m,1,1,O,01,01,1995,14,O,23862,6,8,.,1
LTU,01,m,2,1,O,01,01,1995,14,O,26867,6,8,.,1
LTU,01,m,3,1,O,01,01,1995,14,O,27707,6,8,.,1
LTU,01,m,4,1,O,01,01,1995,14,O,27938,6,8,.,1
LTU,01,m,5,1,O,01,01,1995,14,O,27459,6,8,.,1
LTU,01,m,6,1,O,01,01,1995,14,O,27835,6,8,.,1
LTU,01,m,7,1,O,01,01,1995,14,O,28931,6,8,.,1
LTU,01,m,8,1,O,01,01,1995,14,O,30057,6,8,.,1
LTU,01,m,9,1,O,01,01,1995,14,O,28847,6,8,.,1
LTU,01,m,10,1,O,01,01,1995,14,O,28700,6,8,.,1
LTU,01,m,11,1,O,01,01,1995,14,O,28808,6,8,.,1
LTU,01,m,12,1,O,01,01,1995,14,O,26493,6,8,.,1
LTU,01,m,13,1,O,01,01,1995,14,O,25984,6,8,.,1
LTU,01,m,14,1,O,01,01,1995,14,O,26221,6,8,.,1
LTU,01,m,15,1,O,01,01,1995,14,O,25792,6,8,.,1
LTU,01,m,16,1,O,01,01,1995,14,O,25848,6,8,.,1
LTU,01,m,17,1,O,01,01,1995,14,O,25603,6,8,.,1
LTU,01,m,18,1,O,01,01,1995,14,O,25908,6,8,.,1
LTU,01,m,19,1,O,01,01,1995,14,O,25391,6,8,.,1
LTU,01,m,20,1,O,01,01,1995,14,O,25629,6,8,.,1
LTU,01,m,21,1,O,01,01,1995,14,O,26735,6,8,.,1
LTU,01,m,22,1,O,01,01,1995,14,O,28115,6,8,.,1
LTU,01,m,23,1,O,01,01,1995,14,O,28467,6,8,.,1
LTU,01,m,24,1,O,01,01,1995,14,O,29631,6,8,.,1
LTU,01,m,25,1,O,01,01,1995,14,O,28695,6,8,.,1
LTU,01,m,26,1,O,01,01,1995,14,O,26813,6,8,.,1
LTU,01,m,27,1,O,01,01,1995,14,O,27525,6,8,.,1
LTU,01,m,28,1,O,01,01,1995,14,O,27942,6,8,.,1
LTU,01,m,29,1,O,01,01,1995,14,O,27756,6,8,.,1
LTU,01,m,30,1,O,01,01,1995,14,O,29045,6,8,.,1
LTU,01,m,31,1,O,01,01,1995,14,O,28973,6,8,.,1
LTU,01,m,32,1,O,01,01,1995,14,O,29421,6,8,.,1
LTU,01,m,33,1,O,01,01,1995,14,O,30640,6,8,.,1
LTU,01,m,34,1,O,01,01,1995,14,O,30459,6,8,.,1
LTU,01,m,35,1,O,01,01,1995,14,O,29060,6,8,.,1
LTU,01,m,36,1,O,01,01,1995,14,O,28797,6,8,.,1
LTU,01,m,37,1,O,01,01,1995,14,O,26821,6,8,.,1
LTU,01,m,38,1,O,01,01,1995,14,O,24528,6,8,.,1
LTU,01,m,39,1,O,01,01,1995,14,O,24153,6,8,.,1
LTU,01,m,40,1,O,01,01,1995,14,O,23307,6,8,.,1
LTU,01,m,41,1,O,01,01,1995,14,O,21596,6,8,.,1
LTU,01,m,42,1,O,01,01,1995,14,O,22079,6,8,.,1
LTU,01,m,43,1,O,01,01,1995,14,O,21699,6,8,.,1
LTU,01,m,44,1,O,01,01,1995,14,O,22205,6,8,.,1
LTU,01,m,45,1,O,01,01,1995,14,O,21687,6,8,.,1
LTU,01,m,46,1,O,01,01,1995,14,O,20113,6,8,.,1
LTU,01,m,47,1,O,01,01,1995,14,O,18293,6,8,.,1
LTU,01,m,48,1,O,01,01,1995,14,O,17593,6,8,.,1
LTU,01,m,49,1,O,01,01,1995,14,O,19008,6,8,.,1
LTU,01,m,50,1,O,01,01,1995,14,O,16242,6,8,.,1
LTU,01,m,51,1,O,01,01,1995,14,O,18386,6,8,.,1
LTU,01,m,52,1,O,01,01,1995,14,O,20255,6,8,.,1
LTU,01,m,53,1,O,01,01,1995,14,O,20542,6,8,.,1
LTU,01,m,54,1,O,01,01,1995,14,O,18387,6,8,.,1
LTU,01,m,55,1,O,01,01,1995,14,O,18136,6,8,.,1
LTU,01,m,56,1,O,01,01,1995,14,O,18491,6,8,.,1
LTU,01,m,57,1,O,01,01,1995,14,O,17830,6,8,.,1
LTU,01,m,58,1,O,01,01,1995,14,O,18246,6,8,.,1
LTU,01,m,59,1,O,01,01,1995,14,O,17624,6,8,.,1
LTU,01,m,60,1,O,01,01,1995,14,O,15723,6,8,.,1
LTU,01,m,61,1,O,01,01,1995,14,O,16451,6,8,.,1
LTU,01,m,62,1,O,01,01,1995,14,O,16341,6,8,.,1
LTU,01,m,63,1,O,01,01,1995,14,O,15374,6,8,.,1
LTU,01,m,64,1,O,01,01,1995,14,O,15717,6,8,.,1
LTU,01,m,65,1,O,01,01,1995,14,O,14057,6,8,.,1
LTU,01,m,66,1,O,01,01,1995,14,O,14851,6,8,.,1
LTU,01,m,67,1,O,01,01,1995,14,O,13373,6,8,.,1
LTU,01,m,68,1,O,01,01,1995,14,O,11021,6,8,.,1
LTU,01,m,69,1,O,01,01,1995,14,O,10199,6,8,.,1
LTU,01,m,70,1,O,01,01,1995,14,O,9319,6,8,.,1
LTU,01,m,71,1,O,01,01,1995,14,O,9176,6,8,.,1
LTU,01,m,72,1,O,01,01,1995,14,O,8167,6,8,.,1
LTU,01,m,73,1,O,01,01,1995,14,O,7263,6,8,.,1
LTU,01,m,74,1,O,01,01,1995,14,O,6430,6,8,.,1
LTU,01,m,75,1,O,01,01,1995,14,O,5077,6,8,.,1
LTU,01,m,76,1,O,01,01,1995,14,O,3745,6,8,.,1
LTU,01,m,77,1,O,01,01,1995,14,O,3370,6,8,.,1
LTU,01,m,78,1,O,01,01,1995,14,O,3550,6,8,.,1
LTU,01,m,79,1,O,01,01,1995,14,O,3275,6,8,.,1
LTU,01,m,80,1,O,01,01,1995,14,O,3570,6,8,.,1
LTU,01,m,81,1,O,01,01,1995,14,O,3180,6,8,.,1
LTU,01,m,82,1,O,01,01,1995,14,O,3049,6,8,.,1
LTU,01,m,83,1,O,01,01,1995,14,O,2513,6,8,.,1
LTU,01,m,84,1,O,01,01,1995,14,O,2175,6,8,.,1
LTU,01,m,85,1,O,01,01,1995,14,O,2002,6,8,.,1
LTU,01,m,86,1,O,01,01,1995,14,O,3029,6,8,.,1
LTU,01,m,87,1,O,01,01,1995,14,O,2583,6,8,.,1
LTU,01,m,88,1,O,01,01,1995,14,O,1724,6,8,.,1
LTU,01,m,89,1,O,01,01,1995,14,O,1066,6,8,.,1
LTU,01,m,90,1,O,01,01,1995,14,O,916,6,8,.,1
LTU,01,m,91,1,O,01,01,1995,14,O,666,6,8,.,1
LTU,01,m,92,1,O,01,01,1995,14,O,530,6,8,.,1
LTU,01,m,93,1,O,01,01,1995,14,O,321,6,8,.,1
LTU,01,m,94,1,O,01,01,1995,14,O,269,6,8,.,1
LTU,01,m,95,1,O,01,01,1995,14,O,153,6,8,.,1
LTU,01,m,96,1,O,01,01,1995,14,O,122,6,8,.,1
LTU,01,m,97,1,O,01,01,1995,14,O,86,6,8,.,1
LTU,01,m,98,1,O,01,01,1995,14,O,91,6,8,.,1
LTU,01,m,99,1,O,01,01,1995,14,O,67,6,8,.,1
LTU,01,m,100,+,O,01,01,1995,14,O,115,6,8,.,1
LTU,01,m,UNK,.,O,01,01,1995,14,O,0,6,8,.,1
LTU,01,m,TOT,.,O,01,01,1995,14,O,1717208,6,8,.,1
LTU,01,f,0,1,O,01,01,1995,14,O,20423,6,8,.,1
LTU,01,f,1,1,O,01,01,1995,14,O,22528,6,8,.,1
LTU,01,f,2,1,O,01,01,1995,14,O,25813,6,8,.,1
LTU,01,f,3,1,O,01,01,1995,14,O,26325,6,8,.,1
LTU,01,f,4,1,O,01,01,1995,14,O,26768,6,8,.,1
LTU,01,f,5,1,O,01,01,1995,14,O,26095,6,8,.,1
LTU,01,f,6,1,O,01,01,1995,14,O,26789,6,8,.,1
LTU,01,f,7,1,O,01,01,1995,14,O,28000,6,8,.,1
LTU,01,f,8,1,O,01,01,1995,14,O,28471,6,8,.,1
LTU,01,f,9,1,O,01,01,1995,14,O,28436,6,8,.,1
LTU,01,f,10,1,O,01,01,1995,14,O,27677,6,8,.,1
LTU,01,f,11,1,O,01,01,1995,14,O,27388,6,8,.,1
LTU,01,f,12,1,O,01,01,1995,14,O,25879,6,8,.,1
LTU,01,f,13,1,O,01,01,1995,14,O,25129,6,8,.,1
LTU,01,f,14,1,O,01,01,1995,14,O,25249,6,8,.,1
LTU,01,f,15,1,O,01,01,1995,14,O,25167,6,8,.,1
LTU,01,f,16,1,O,01,01,1995,14,O,24958,6,8,.,1
LTU,01,f,17,1,O,01,01,1995,14,O,24995,6,8,.,1
LTU,01,f,18,1,O,01,01,1995,14,O,25298,6,8,.,1
LTU,01,f,19,1,O,01,01,1995,14,O,25258,6,8,.,1
LTU,01,f,20,1,O,01,01,1995,14,O,25486,6,8,.,1
LTU,01,f,21,1,O,01,01,1995,14,O,25942,6,8,.,1
LTU,01,f,22,1,O,01,01,1995,14,O,27150,6,8,.,1
LTU,01,f,23,1,O,01,01,1995,14,O,27544,6,8,.,1
LTU,01,f,24,1,O,01,01,1995,14,O,27158,6,8,.,1
LTU,01,f,25,1,O,01,01,1995,14,O,25880,6,8,.,1
LTU,01,f,26,1,O,01,01,1995,14,O,26379,6,8,.,1
LTU,01,f,27,1,O,01,01,1995,14,O,26511,6,8,.,1
LTU,01,f,28,1,O,01,01,1995,14,O,26678,6,8,.,1
LTU,01,f,29,1,O,01,01,1995,14,O,26452,6,8,.,1
LTU,01,f,30,1,O,01,01,1995,14,O,27733,6,8,.,1
LTU,01,f,31,1,O,01,01,1995,14,O,28035,6,8,.,1
LTU,01,f,32,1,O,01,01,1995,14,O,29392,6,8,.,1
LTU,01,f,33,1,O,01,01,1995,14,O,30710,6,8,.,1
LTU,01,f,34,1,O,01,01,1995,14,O,30921,6,8,.,1
LTU,01,f,35,1,O,01,01,1995,14,O,30081,6,8,.,1
LTU,01,f,36,1,O,01,01,1995,14,O,29830,6,8,.,1
LTU,01,f,37,1,O,01,01,1995,14,O,27661,6,8,.,1
LTU,01,f,38,1,O,01,01,1995,14,O,25913,6,8,.,1
LTU,01,f,39,1,O,01,01,1995,14,O,25335,6,8,.,1
LTU,01,f,40,1,O,01,01,1995,14,O,24495,6,8,.,1
LTU,01,f,41,1,O,01,01,1995,14,O,22980,6,8,.,1
LTU,01,f,42,1,O,01,01,1995,14,O,23950,6,8,.,1
LTU,01,f,43,1,O,01,01,1995,14,O,23656,6,8,.,1
LTU,01,f,44,1,O,01,01,1995,14,O,24168,6,8,.,1
LTU,01,f,45,1,O,01,01,1995,14,O,24511,6,8,.,1
LTU,01,f,46,1,O,01,01,1995,14,O,22865,6,8,.,1
LTU,01,f,47,1,O,01,01,1995,14,O,20643,6,8,.,1
LTU,01,f,48,1,O,01,01,1995,14,O,20131,6,8,.,1
LTU,01,f,49,1,O,01,01,1995,14,O,22321,6,8,.,1
LTU,01,f,50,1,O,01,01,1995,14,O,18718,6,8,.,1
LTU,01,f,51,1,O,01,01,1995,14,O,22063,6,8,.,1
LTU,01,f,52,1,O,01,01,1995,14,O,24337,6,8,.,1
LTU,01,f,53,1,O,01,01,1995,14,O,23992,6,8,.,1
LTU,01,f,54,1,O,01,01,1995,14,O,21930,6,8,.,1
LTU,01,f,55,1,O,01,01,1995,14,O,22376,6,8,.,1
LTU,01,f,56,1,O,01,01,1995,14,O,23237,6,8,.,1
LTU,01,f,57,1,O,01,01,1995,14,O,23132,6,8,.,1
LTU,01,f,58,1,O,01,01,1995,14,O,23498,6,8,.,1
LTU,01,f,59,1,O,01,01,1995,14,O,22565,6,8,.,1
LTU,01,f,60,1,O,01,01,1995,14,O,21158,6,8,.,1
LTU,01,f,61,1,O,01,01,1995,14,O,22191,6,8,.,1
LTU,01,f,62,1,O,01,01,1995,14,O,23166,6,8,.,1
LTU,01,f,63,1,O,01,01,1995,14,O,21692,6,8,.,1
LTU,01,f,64,1,O,01,01,1995,14,O,22198,6,8,.,1
LTU,01,f,65,1,O,01,01,1995,14,O,20794,6,8,.,1
LTU,01,f,66,1,O,01,01,1995,14,O,22508,6,8,.,1
LTU,01,f,67,1,O,01,01,1995,14,O,20601,6,8,.,1
LTU,01,f,68,1,O,01,01,1995,14,O,20145,6,8,.,1
LTU,01,f,69,1,O,01,01,1995,14,O,19946,6,8,.,1
LTU,01,f,70,1,O,01,01,1995,14,O,18546,6,8,.,1
LTU,01,f,71,1,O,01,01,1995,14,O,17604,6,8,.,1
LTU,01,f,72,1,O,01,01,1995,14,O,16201,6,8,.,1
LTU,01,f,73,1,O,01,01,1995,14,O,14109,6,8,.,1
LTU,01,f,74,1,O,01,01,1995,14,O,12658,6,8,.,1
LTU,01,f,75,1,O,01,01,1995,14,O,10356,6,8,.,1
LTU,01,f,76,1,O,01,01,1995,14,O,8208,6,8,.,1
LTU,01,f,77,1,O,01,01,1995,14,O,7148,6,8,.,1
LTU,01,f,78,1,O,01,01,1995,14,O,7729,6,8,.,1
LTU,01,f,79,1,O,01,01,1995,14,O,7617,6,8,.,1
LTU,01,f,80,1,O,01,01,1995,14,O,8700,6,8,.,1
LTU,01,f,81,1,O,01,01,1995,14,O,8102,6,8,.,1
LTU,01,f,82,1,O,01,01,1995,14,O,8044,6,8,.,1
LTU,01,f,83,1,O,01,01,1995,14,O,6884,6,8,.,1
LTU,01,f,84,1,O,01,01,1995,14,O,6353,6,8,.,1
LTU,01,f,85,1,O,01,01,1995,14,O,5573,6,8,.,1
LTU,01,f,86,1,O,01,01,1995,14,O,4748,6,8,.,1
LTU,01,f,87,1,O,01,01,1995,14,O,4092,6,8,.,1
LTU,01,f,88,1,O,01,01,1995,14,O,3535,6,8,.,1
LTU,01,f,89,1,O,01,01,1995,14,O,2746,6,8,.,1
LTU,01,f,90,1,O,01,01,1995,14,O,2203,6,8,.,1
LTU,01,f,91,1,O,01,01,1995,14,O,1673,6,8,.,1
LTU,01,f,92,1,O,01,01,1995,14,O,1429,6,8,.,1
LTU,01,f,93,1,O,01,01,1995,14,O,975,6,8,.,1
LTU,01,f,94,1,O,01,01,1995,14,O,1013,6,8,.,1
LTU,01,f,95,1,O,01,01,1995,14,O,532,6,8,.,1
LTU,01,f,96,1,O,01,01,1995,14,O,430,6,8,.,1
LTU,01,f,97,1,O,01,01,1995,14,O,310,6,8,.,1
LTU,01,f,98,1,O,01,01,1995,14,O,254,6,8,.,1
LTU,01,f,99,1,O,01,01,1995,14,O,208,6,8,.,1
LTU,01,f,100,+,O,01,01,1995,14,O,399,6,8,.,1
LTU,01,f,UNK,.,O,01,01,1995,14,O,0,6,8,.,1
LTU,01,f,TOT,.,O,01,01,1995,14,O,1925783,6,8,.,1
LTU,01,m,0,1,O,01,01,1996,14,O,20868,6,8,.,1
LTU,01,m,1,1,O,01,01,1996,14,O,21181,6,8,.,1
LTU,01,m,2,1,O,01,01,1996,14,O,23743,6,8,.,1
LTU,01,m,3,1,O,01,01,1996,14,O,26705,6,8,.,1
LTU,01,m,4,1,O,01,01,1996,14,O,27536,6,8,.,1
LTU,01,m,5,1,O,01,01,1996,14,O,27758,6,8,.,1
LTU,01,m,6,1,O,01,01,1996,14,O,27272,6,8,.,1
LTU,01,m,7,1,O,01,01,1996,14,O,27662,6,8,.,1
LTU,01,m,8,1,O,01,01,1996,14,O,28745,6,8,.,1
LTU,01,m,9,1,O,01,01,1996,14,O,29864,6,8,.,1
LTU,01,m,10,1,O,01,01,1996,14,O,28656,6,8,.,1
LTU,01,m,11,1,O,01,01,1996,14,O,28503,6,8,.,1
LTU,01,m,12,1,O,01,01,1996,14,O,28615,6,8,.,1
LTU,01,m,13,1,O,01,01,1996,14,O,26311,6,8,.,1
LTU,01,m,14,1,O,01,01,1996,14,O,25798,6,8,.,1
LTU,01,m,15,1,O,01,01,1996,14,O,26027,6,8,.,1
LTU,01,m,16,1,O,01,01,1996,14,O,25599,6,8,.,1
LTU,01,m,17,1,O,01,01,1996,14,O,25603,6,8,.,1
LTU,01,m,18,1,O,01,01,1996,14,O,25281,6,8,.,1
LTU,01,m,19,1,O,01,01,1996,14,O,25569,6,8,.,1
LTU,01,m,20,1,O,01,01,1996,14,O,25049,6,8,.,1
LTU,01,m,21,1,O,01,01,1996,14,O,25248,6,8,.,1
LTU,01,m,22,1,O,01,01,1996,14,O,26367,6,8,.,1
LTU,01,m,23,1,O,01,01,1996,14,O,27702,6,8,.,1
LTU,01,m,24,1,O,01,01,1996,14,O,28019,6,8,.,1
LTU,01,m,25,1,O,01,01,1996,14,O,29147,6,8,.,1
LTU,01,m,26,1,O,01,01,1996,14,O,28242,6,8,.,1
LTU,01,m,27,1,O,01,01,1996,14,O,26431,6,8,.,1
LTU,01,m,28,1,O,01,01,1996,14,O,27153,6,8,.,1
LTU,01,m,29,1,O,01,01,1996,14,O,27516,6,8,.,1
LTU,01,m,30,1,O,01,01,1996,14,O,27328,6,8,.,1
LTU,01,m,31,1,O,01,01,1996,14,O,28632,6,8,.,1
LTU,01,m,32,1,O,01,01,1996,14,O,28586,6,8,.,1
LTU,01,m,33,1,O,01,01,1996,14,O,29031,6,8,.,1
LTU,01,m,34,1,O,01,01,1996,14,O,30180,6,8,.,1
LTU,01,m,35,1,O,01,01,1996,14,O,29963,6,8,.,1
LTU,01,m,36,1,O,01,01,1996,14,O,28539,6,8,.,1
LTU,01,m,37,1,O,01,01,1996,14,O,28328,6,8,.,1
LTU,01,m,38,1,O,01,01,1996,14,O,26337,6,8,.,1
LTU,01,m,39,1,O,01,01,1996,14,O,24133,6,8,.,1
LTU,01,m,40,1,O,01,01,1996,14,O,23693,6,8,.,1
LTU,01,m,41,1,O,01,01,1996,14,O,22869,6,8,.,1
LTU,01,m,42,1,O,01,01,1996,14,O,21189,6,8,.,1
LTU,01,m,43,1,O,01,01,1996,14,O,21720,6,8,.,1
LTU,01,m,44,1,O,01,01,1996,14,O,21272,6,8,.,1
LTU,01,m,45,1,O,01,01,1996,14,O,21784,6,8,.,1
LTU,01,m,46,1,O,01,01,1996,14,O,21193,6,8,.,1
LTU,01,m,47,1,O,01,01,1996,14,O,19709,6,8,.,1
LTU,01,m,48,1,O,01,01,1996,14,O,17893,6,8,.,1
LTU,01,m,49,1,O,01,01,1996,14,O,17176,6,8,.,1
LTU,01,m,50,1,O,01,01,1996,14,O,18558,6,8,.,1
LTU,01,m,51,1,O,01,01,1996,14,O,15862,6,8,.,1
LTU,01,m,52,1,O,01,01,1996,14,O,17938,6,8,.,1
LTU,01,m,53,1,O,01,01,1996,14,O,19717,6,8,.,1
LTU,01,m,54,1,O,01,01,1996,14,O,19984,6,8,.,1
LTU,01,m,55,1,O,01,01,1996,14,O,17876,6,8,.,1
LTU,01,m,56,1,O,01,01,1996,14,O,17657,6,8,.,1
LTU,01,m,57,1,O,01,01,1996,14,O,17937,6,8,.,1
LTU,01,m,58,1,O,01,01,1996,14,O,17309,6,8,.,1
LTU,01,m,59,1,O,01,01,1996,14,O,17689,6,8,.,1
LTU,01,m,60,1,O,01,01,1996,14,O,17092,6,8,.,1
LTU,01,m,61,1,O,01,01,1996,14,O,15170,6,8,.,1
LTU,01,m,62,1,O,01,01,1996,14,O,15904,6,8,.,1
LTU,01,m,63,1,O,01,01,1996,14,O,15755,6,8,.,1
LTU,01,m,64,1,O,01,01,1996,14,O,14794,6,8,.,1
LTU,01,m,65,1,O,01,01,1996,14,O,15103,6,8,.,1
LTU,01,m,66,1,O,01,01,1996,14,O,13466,6,8,.,1
LTU,01,m,67,1,O,01,01,1996,14,O,14191,6,8,.,1
LTU,01,m,68,1,O,01,01,1996,14,O,12711,6,8,.,1
LTU,01,m,69,1,O,01,01,1996,14,O,10458,6,8,.,1
LTU,01,m,70,1,O,01,01,1996,14,O,9594,6,8,.,1
LTU,01,m,71,1,O,01,01,1996,14,O,8787,6,8,.,1
LTU,01,m,72,1,O,01,01,1996,14,O,8645,6,8,.,1
LTU,01,m,73,1,O,01,01,1996,14,O,7676,6,8,.,1
LTU,01,m,74,1,O,01,01,1996,14,O,6787,6,8,.,1
LTU,01,m,75,1,O,01,01,1996,14,O,5956,6,8,.,1
LTU,01,m,76,1,O,01,01,1996,14,O,4684,6,8,.,1
LTU,01,m,77,1,O,01,01,1996,14,O,3433,6,8,.,1
LTU,01,m,78,1,O,01,01,1996,14,O,3103,6,8,.,1
LTU,01,m,79,1,O,01,01,1996,14,O,3218,6,8,.,1
LTU,01,m,80,1,O,01,01,1996,14,O,2905,6,8,.,1
LTU,01,m,81,1,O,01,01,1996,14,O,3180,6,8,.,1
LTU,01,m,82,1,O,01,01,1996,14,O,2813,6,8,.,1
LTU,01,m,83,1,O,01,01,1996,14,O,2665,6,8,.,1
LTU,01,m,84,1,O,01,01,1996,14,O,2185,6,8,.,1
LTU,01,m,85,1,O,01,01,1996,14,O,1856,6,8,.,1
LTU,01,m,86,1,O,01,01,1996,14,O,1682,6,8,.,1
LTU,01,m,87,1,O,01,01,1996,14,O,2565,6,8,.,1
LTU,01,m,88,1,O,01,01,1996,14,O,2149,6,8,.,1
LTU,01,m,89,1,O,01,01,1996,14,O,1393,6,8,.,1
LTU,01,m,90,1,O,01,01,1996,14,O,868,6,8,.,1
LTU,01,m,91,1,O,01,01,1996,14,O,731,6,8,.,1
LTU,01,m,92,1,O,01,01,1996,14,O,520,6,8,.,1
LTU,01,m,93,1,O,01,01,1996,14,O,400,6,8,.,1
LTU,01,m,94,1,O,01,01,1996,14,O,229,6,8,.,1
LTU,01,m,95,1,O,01,01,1996,14,O,197,6,8,.,1
LTU,01,m,96,1,O,01,01,1996,14,O,109,6,8,.,1
LTU,01,m,97,1,O,01,01,1996,14,O,93,6,8,.,1
LTU,01,m,98,1,O,01,01,1996,14,O,63,6,8,.,1
LTU,01,m,99,1,O,01,01,1996,14,O,70,6,8,.,1
LTU,01,m,100,+,O,01,01,1996,14,O,113,6,8,.,1
LTU,01,m,UNK,.,O,01,01,1996,14,O,0,6,8,.,1
LTU,01,m,TOT,.,O,01,01,1996,14,O,1701565,6,8,.,1
LTU,01,f,0,1,O,01,01,1996,14,O,19801,6,8,.,1
LTU,01,f,1,1,O,01,01,1996,14,O,20293,6,8,.,1
LTU,01,f,2,1,O,01,01,1996,14,O,22410,6,8,.,1
LTU,01,f,3,1,O,01,01,1996,14,O,25660,6,8,.,1
LTU,01,f,4,1,O,01,01,1996,14,O,26170,6,8,.,1
LTU,01,f,5,1,O,01,01,1996,14,O,26595,6,8,.,1
LTU,01,f,6,1,O,01,01,1996,14,O,25932,6,8,.,1
LTU,01,f,7,1,O,01,01,1996,14,O,26622,6,8,.,1
LTU,01,f,8,1,O,01,01,1996,14,O,27828,6,8,.,1
LTU,01,f,9,1,O,01,01,1996,14,O,28296,6,8,.,1
LTU,01,f,10,1,O,01,01,1996,14,O,28250,6,8,.,1
LTU,01,f,11,1,O,01,01,1996,14,O,27477,6,8,.,1
LTU,01,f,12,1,O,01,01,1996,14,O,27196,6,8,.,1
LTU,01,f,13,1,O,01,01,1996,14,O,25685,6,8,.,1
LTU,01,f,14,1,O,01,01,1996,14,O,24935,6,8,.,1
LTU,01,f,15,1,O,01,01,1996,14,O,25033,6,8,.,1
LTU,01,f,16,1,O,01,01,1996,14,O,24967,6,8,.,1
LTU,01,f,17,1,O,01,01,1996,14,O,24727,6,8,.,1
LTU,01,f,18,1,O,01,01,1996,14,O,24725,6,8,.,1
LTU,01,f,19,1,O,01,01,1996,14,O,25006,6,8,.,1
LTU,01,f,20,1,O,01,01,1996,14,O,24971,6,8,.,1
LTU,01,f,21,1,O,01,01,1996,14,O,25154,6,8,.,1
LTU,01,f,22,1,O,01,01,1996,14,O,25620,6,8,.,1
LTU,01,f,23,1,O,01,01,1996,14,O,26826,6,8,.,1
LTU,01,f,24,1,O,01,01,1996,14,O,27260,6,8,.,1
LTU,01,f,25,1,O,01,01,1996,14,O,26977,6,8,.,1
LTU,01,f,26,1,O,01,01,1996,14,O,25736,6,8,.,1
LTU,01,f,27,1,O,01,01,1996,14,O,26268,6,8,.,1
LTU,01,f,28,1,O,01,01,1996,14,O,26391,6,8,.,1
LTU,01,f,29,1,O,01,01,1996,14,O,26548,6,8,.,1
LTU,01,f,30,1,O,01,01,1996,14,O,26322,6,8,.,1
LTU,01,f,31,1,O,01,01,1996,14,O,27579,6,8,.,1
LTU,01,f,32,1,O,01,01,1996,14,O,27895,6,8,.,1
LTU,01,f,33,1,O,01,01,1996,14,O,29227,6,8,.,1
LTU,01,f,34,1,O,01,01,1996,14,O,30476,6,8,.,1
LTU,01,f,35,1,O,01,01,1996,14,O,30661,6,8,.,1
LTU,01,f,36,1,O,01,01,1996,14,O,29776,6,8,.,1
LTU,01,f,37,1,O,01,01,1996,14,O,29544,6,8,.,1
LTU,01,f,38,1,O,01,01,1996,14,O,27364,6,8,.,1
LTU,01,f,39,1,O,01,01,1996,14,O,25659,6,8,.,1
LTU,01,f,40,1,O,01,01,1996,14,O,25074,6,8,.,1
LTU,01,f,41,1,O,01,01,1996,14,O,24234,6,8,.,1
LTU,01,f,42,1,O,01,01,1996,14,O,22736,6,8,.,1
LTU,01,f,43,1,O,01,01,1996,14,O,23697,6,8,.,1
LTU,01,f,44,1,O,01,01,1996,14,O,23388,6,8,.,1
LTU,01,f,45,1,O,01,01,1996,14,O,23900,6,8,.,1
LTU,01,f,46,1,O,01,01,1996,14,O,24175,6,8,.,1
LTU,01,f,47,1,O,01,01,1996,14,O,22598,6,8,.,1
LTU,01,f,48,1,O,01,01,1996,14,O,20373,6,8,.,1
LTU,01,f,49,1,O,01,01,1996,14,O,19879,6,8,.,1
LTU,01,f,50,1,O,01,01,1996,14,O,22057,6,8,.,1
LTU,01,f,51,1,O,01,01,1996,14,O,18513,6,8,.,1
LTU,01,f,52,1,O,01,01,1996,14,O,21840,6,8,.,1
LTU,01,f,53,1,O,01,01,1996,14,O,24086,6,8,.,1
LTU,01,f,54,1,O,01,01,1996,14,O,23756,6,8,.,1
LTU,01,f,55,1,O,01,01,1996,14,O,21700,6,8,.,1
LTU,01,f,56,1,O,01,01,1996,14,O,22124,6,8,.,1
LTU,01,f,57,1,O,01,01,1996,14,O,22942,6,8,.,1
LTU,01,f,58,1,O,01,01,1996,14,O,22816,6,8,.,1
LTU,01,f,59,1,O,01,01,1996,14,O,23173,6,8,.,1
LTU,01,f,60,1,O,01,01,1996,14,O,22286,6,8,.,1
LTU,01,f,61,1,O,01,01,1996,14,O,20854,6,8,.,1
LTU,01,f,62,1,O,01,01,1996,14,O,21861,6,8,.,1
LTU,01,f,63,1,O,01,01,1996,14,O,22805,6,8,.,1
LTU,01,f,64,1,O,01,01,1996,14,O,21284,6,8,.,1
