Country,Source,earliest_date,latest_date,periods_total,periods_present,periods_missing,earliest_date_country,latest_date_country,periods_present_country,periods_total_country,periods_missing_country,earliest_date_population,latest_date_population,earliest_date_country_population,latest_date_country_population
Saint Barthélemy,UN,2018-01-01,2023-12-01,72,72,0,2018-01-01,2023-12-01,72,72,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Saint Helena ex. dep.,UN,1967-01-01,2023-12-01,684,594,90,1967-01-01,2023-12-01,594,684,90,,,,
Saint Helena: Ascension,UN,1971-01-01,2018-12-01,576,111,465,1971-01-01,2018-12-01,111,576,465,,,,
Saint Kitts and Nevis,UN,1983-01-01,1989-10-01,82,24,58,1983-01-01,1989-10-01,24,82,58,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Saint Lucia,UN,1976-01-01,2002-12-01,324,240,84,1976-01-01,2002-12-01,240,324,84,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Saint Pierre and Miquelon,UN,1974-01-01,2023-12-01,600,120,480,1974-01-01,2023-12-01,120,600,480,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Saint Vincent and the Grenadines,UN,1980-01-01,2021-12-01,504,396,108,1980-01-01,2021-12-01,396,504,108,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Saint-Martin (French part),UN,2018-01-01,2023-12-01,72,72,0,2018-01-01,2023-12-01,72,72,0,,,,
Samoa,UN,1975-01-01,1978-12-01,48,24,24,1975-01-01,1978-12-01,24,48,24,1950-01-01,2023-12-01,1950-01-01,2023-12-01
San Marino,UN,1971-01-01,2020-12-01,600,423,177,1971-01-01,2020-12-01,423,600,177,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Sao Tome and Principe,UN,1967-01-01,2021-11-01,659,107,552,1967-01-01,2021-11-01,107,659,552,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Scotland,HMD,1954-01-01,2022-12-01,828,828,0,1954-01-01,2022-12-01,828,828,0,1861-01-01,2023-12-01,1861-01-01,2023-12-01
Serbia,UN,2005-01-01,2025-06-01,246,233,13,2005-01-01,2025-06-01,233,246,13,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Seychelles,UN,1970-01-01,2024-12-01,660,612,48,1970-01-01,2024-12-01,612,660,48,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Singapore,UN,1973-01-01,2024-12-01,624,624,0,1973-01-01,2024-12-01,624,624,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Slovakia,HMD,1925-01-01,2019-12-01,1140,1056,84,1925-01-01,2025-06-01,1122,1206,84,1950-01-01,2020-12-01,1950-01-01,2023-12-01
Slovakia,UN,2020-01-01,2025-06-01,66,66,0,1925-01-01,2025-06-01,1122,1206,84,1951-01-01,2023-12-01,1950-01-01,2023-12-01
Slovenia,HMD,1970-01-01,2019-12-01,600,600,0,1970-01-01,2023-12-01,648,648,0,1983-01-01,2020-12-01,1950-01-01,2023-12-01
Slovenia,UN,2020-01-01,2023-12-01,48,48,0,1970-01-01,2023-12-01,648,648,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
South Africa,UN,1970-01-01,2023-12-01,648,144,504,1970-01-01,2023-12-01,144,648,504,1950-01-01,2023-12-01,1950-01-01,2023-12-01
South Korea,HMD,1981-01-01,2023-12-01,516,516,0,1981-01-01,2023-12-01,516,516,0,2002-01-01,2023-12-01,2002-01-01,2023-12-01
Spain,HMD,1900-01-01,2023-12-01,1488,1488,0,1900-01-01,2024-12-01,1500,1500,0,1900-01-01,2024-12-01,1900-01-01,2024-12-01
Spain,UN,2024-01-01,2024-12-01,12,12,0,1900-01-01,2024-12-01,1500,1500,0,1951-01-01,2001-12-01,1900-01-01,2024-12-01
Sri Lanka,UN,1973-01-01,2023-12-01,612,420,192,1973-01-01,2023-12-01,420,612,192,1950-01-01,2023-12-01,1950-01-01,2023-12-01
State of Palestine,UN,2018-01-01,2021-12-01,48,48,0,2018-01-01,2021-12-01,48,48,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Suriname,UN,1989-01-01,2022-12-01,408,408,0,1989-01-01,2022-12-01,408,408,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Sweden,HMD,1911-01-01,2024-12-01,1368,1368,0,1911-01-01,2025-07-01,1374,1375,1,1751-01-01,2024-12-01,1751-01-01,2024-12-01
Sweden,UN,2025-01-01,2025-07-01,7,6,1,1911-01-01,2025-07-01,1374,1375,1,,,,
Switzerland,HMD,1871-01-01,2023-12-01,1836,1836,0,1871-01-01,2023-12-01,1836,1836,0,1876-01-01,2023-12-01,1876-01-01,2023-12-01
Tajikistan,UN,1989-01-01,1999-12-01,132,84,48,1989-01-01,1999-12-01,84,132,48,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Thailand,UN,1978-01-01,1979-12-01,24,24,0,1978-01-01,1979-12-01,24,24,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Tonga,UN,1993-01-01,2003-12-01,132,120,12,1993-01-01,2003-12-01,120,132,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Trinidad and Tobago,UN,1972-01-01,2018-12-01,564,444,120,1972-01-01,2018-12-01,444,564,120,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Tunisia,UN,1969-01-01,2018-10-01,598,442,156,1969-01-01,2018-10-01,442,598,156,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Turks and Caicos Islands,UN,1972-01-01,2024-12-01,636,300,336,1972-01-01,2024-12-01,300,636,336,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Türkiye,UN,2001-01-01,2023-12-01,276,264,12,2001-01-01,2023-12-01,264,276,12,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Ukraine,HMD,1968-01-01,2013-12-01,552,552,0,1968-01-01,2021-12-01,648,648,0,1959-01-01,2014-12-01,1950-01-01,2023-12-01
Ukraine,UN,2014-01-01,2021-12-01,96,96,0,1968-01-01,2021-12-01,648,648,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
United Arab Emirates,UN,2018-01-01,2023-12-01,72,72,0,2018-01-01,2023-12-01,72,72,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
United Kingdom,HMD,1938-01-01,2022-12-01,1020,1020,0,1938-01-01,2022-12-01,1020,1020,0,1841-01-01,2023-12-01,1841-01-01,2023-12-01
United Kingdom of Great Britain and Northern Ireland,UN,1982-01-01,2023-12-01,504,420,84,1982-01-01,2023-12-01,420,504,84,,,,
United States Virgin Islands,UN,1969-01-01,2018-12-01,600,312,288,1969-01-01,2018-12-01,312,600,288,1950-01-01,2023-12-01,1950-01-01,2023-12-01
United States of America,HMD,1933-01-01,2023-12-01,1092,1092,0,1933-01-01,2023-12-01,1092,1092,0,1933-01-01,2024-12-01,1933-01-01,2024-12-01
Uruguay,UN,1977-01-01,2022-12-01,552,324,228,1977-01-01,2022-12-01,324,552,228,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Uzbekistan,UN,1993-01-01,2024-12-01,384,240,144,1993-01-01,2024-12-01,240,384,144,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Venezuela (Bolivarian Republic of),UN,1972-01-01,2012-12-01,492,420,72,1972-01-01,2012-12-01,420,492,72,1950-01-01,2023-12-01,1950-01-01,2023-12-01
Wallis and Futuna Islands,UN,1973-01-01,1978-12-01,72,72,0,1973-01-01,1978-12-01,72,72,0,1950-01-01,2023-12-01,1950-01-01,2023-12-01
West Germany,HMD,1946-01-01,2020-12-01,900,900,0,1946-01-01,2020-12-01,900,900,0,1955-01-01,2020-12-01,1955-01-01,2020-12-01
Åland Islands,UN,2006-01-01,2023-12-01,216,180,36,2006-01-01,2023-12-01,180,216,36,,,,
